year,make,model,hpv,Efficiency_km/L
2016,Cadillac,ATS AWD,0,10.628592675
2016,Mercedes-Benz,AMG S63 4matic Coupe,0,7.652586726
2016,Mercedes-Benz,CLS550 4matic,0,8.50287414
2016,MINI,Cooper Countryman,87,11.478880088999999
2016,MINI,Cooper Paceman,87,11.478880088999999
2016,Nissan,Versa,94,14.454886038
2016,Nissan,Versa,94,12.75431121
2016,Nissan,Versa,94,12.329167502999999
2016,Scion,tC,90,11.053736382
2016,Scion,tC,90,11.053736382
2016,Volkswagen,GTI,93,11.904023795999999
2016,Volkswagen,GTI,93,11.904023795999999
2016,Volkswagen,Golf,93,12.329167502999999
2016,Volkswagen,Golf,93,12.329167502999999
2016,Volkswagen,CC,0,10.628592675
2016,Volkswagen,CC,0,10.628592675
2016,Volkswagen,CC 4motion,0,8.50287414
2016,Cadillac,CTS Sedan AWD,0,10.203448968
2016,Chrysler,200,0,11.478880088999999
2016,Chrysler,200,0,11.478880088999999
2016,Chrysler,200 AWD,0,9.353161554
2016,Audi,A8 L,0,6.802299312
2016,Cadillac,XTS AWD,0,7.652586726
2016,Volkswagen,Golf SportWagen,0,12.329167502999999
2016,Volkswagen,Golf SportWagen,0,11.904023795999999
2016,Chevrolet,Colorado 2WD,0,9.353161554
2016,Chevrolet,Colorado 2WD,0,9.353161554
2016,Chevrolet,Colorado 2WD,0,8.928017847
2016,GMC,Canyon 2WD,0,9.353161554
2016,GMC,Canyon 2WD,0,9.353161554
2016,GMC,Canyon 2WD,0,8.928017847
2016,Chevrolet,Colorado 4WD,0,8.928017847
2016,Chevrolet,Colorado 4WD,0,8.50287414
2016,Ram,1500 2WD,0,9.778305261
2016,Ram,1500 4WD,0,8.077730433
2016,Chevrolet,Colorado Cab Chassis 2WD,0,6.802299312
2016,GMC,Canyon Cab Chassis 2WD,0,6.802299312
2016,Chevrolet,Equinox FWD,0,8.50287414
2016,GMC,Terrain FWD,0,8.50287414
2016,Jeep,Cherokee FWD,0,10.203448968
2016,Volkswagen,Tiguan,0,9.778305261
